Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
2,0.5078347983188862,1669,chapin_dfss_providers_2011_070212.csv,el valor little tykes ii,1723 w 35th street,60609,5791791,,,,,,,el valor,mckinley park,,,,,laura gonzalez,yes,no,no,,,,,,,,,,
3,0.7607279204385962,101,cps_early_childhood_portal_scrape.csv,metropolitan family services - midway children's center (chicago lawn),3215 w 63rd st,,8842350,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
3,0.7607279204385962,692,cps_early_childhood_portal_scrape.csv,metropolitan family services - midway children's center (chicago lawn),3215 w 63rd st,,8842350,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
3,0.7607279204385962,1267,cps_early_childhood_portal_scrape.csv,metropolitan family services - midway children's center (chicago lawn),3215 w 63rd st,,8842350,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
3,0.6989204845220041,1831,chapin_dfss_providers_2011_070212.csv,metropolitan family services midway children's center,3215 w 63rd st,60629,8842350,,,,,,,metropolitan family services,chicago lawn,,,,,guadalupe valdine,yes,no,yes,"4331it(child care it center), 3783ps(hs collaboration with c",,,,,,,,,
4,0.6166520981651569,103,cps_early_childhood_portal_scrape.csv,metropolitan family services - north children's center,3249 n central ave,,3713700,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
4,0.6166520981651569,695,cps_early_childhood_portal_scrape.csv,metropolitan family services - north children's center,3249 n central ave,,3713700,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
4,0.9956806312328658,1833,chapin_dfss_providers_2011_070212.csv,metropolitan family services north children's center,3249 n central ave,60634,,,,,,,,metropolitan family services,portage park,,,,,dawn delgado,yes,no,yes,"4329it(child care it center), 4330ps(hs collaboration with c",,,,,,,,,
4,0.4834096205748599,2247,dfss_agencysitelies_2012.csv,metropolitan family services north children's center,3249 n central ave.,60634,3713770,,,,,,,metropolitan family services,,,,,,,,,,,www.metrofamily.org,fernando freire,dawn delgado,,,,,,
5,0.7986240958649079,128,cps_early_childhood_portal_scrape.csv,el valor - kiddy kare learning ctr,4444 s kedzie ave,,2476642,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
5,0.7986240958649079,747,cps_early_childhood_portal_scrape.csv,el valor - kiddy kare learning ctr,4444 s kedzie ave,,2476642,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
6,0.623982154338363,155,cps_early_childhood_portal_scrape.csv,el valor - little learners,5923 w 63rd st,,5815541,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
6,0.623982154338363,798,cps_early_childhood_portal_scrape.csv,el valor - little learners,5923 w 63rd st,,5815541,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
6,0.5078347983188862,1667,chapin_dfss_providers_2011_070212.csv,el valor little learners,5923 w 63rd street,60638,5815541,,,,,,,el valor,clearing,,,,,marilyn gonzalez,yes,no,no,,,,,,,,,,
7,0.9725583787074659,257,cps_early_childhood_portal_scrape.csv,children?s home & aid englewood,1701 w. 63rd st.,,,,community partnerships,"8-11 hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
7,0.9725583787074659,3010,ounce of prevention - site locations.csv,children's home and aid society - mitzi freidheim englewood child + family center,1701 w. 63rd st.,60636,4766998,,,,,,,,,,,,,,,,,,,,,,,humboldt park and englewood communities; serves children ages 3-5,,,
8,0.7740635313160481,421,cps_early_childhood_portal_scrape.csv,metropolitan family services midway,6422 s. kedzie,,7374790,,community partnerships,"8-11 hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
8,0.7740635313160481,2246,dfss_agencysitelies_2012.csv,metropolitan family services midway head start,6422 s. kedzie,60629,7374790,,,,,,,metropolitan family services,,,,,,,,,,,www.metrofamily.org,laurie sedio,rhonda freeman,,,,,,
9,0.6074886283881742,814,cps_early_childhood_portal_scrape.csv,metropolitan family services - midway head start center,6422 s kedzie ave,,7374790,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
9,0.6074886283881742,1832,chapin_dfss_providers_2011_070212.csv,metropolitan family services midway head start,6422 s kedzie,60629,7374790,,,,,,,metropolitan family services,chicago lawn,,,,,rhonda freeman,yes,no,no,,,,,,,,,,
10,0.5575133523423205,857,cps_early_childhood_portal_scrape.csv,henry booth house - learning tree,8128 s kedzie ave,,7788802,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
10,0.5575133523423205,1750,chapin_dfss_providers_2011_070212.csv,henry booth house learning tree,8128 s kedzie,60652,7788802,,,,,,,henry booth house,ashburn,,,,,ms. vaughn,no,no,no,,,,,,,,,,
11,0.6099703366299878,859,cps_early_childhood_portal_scrape.csv,henry booth house - pink's child care academy,8236 s kedzie ave,,8637465,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
11,0.6898457832306981,1764,chapin_dfss_providers_2011_070212.csv,henry booth house pink's child care academy,8236 s kedzie,60652,8637465,,,,,,,henry booth house,ashburn,,,,,ms. jones,yes,no,no,,,,,,,,,,
11,0.6898457832306981,2211,dfss_agencysitelies_2012.csv,henry booth house pink's child care academy,8236 s kedzie,60652,8637465,,,,,,,henry booth house,,,,,,,,,,,www.henryboothhouse.org,scott perkins,ms. jones,,,,,,
12,0.7993307745292442,1456,chapin_dfss_providers_2011_070212.csv,chicago commons association kiddie garden little angels,4235 s kedzie ave,60632,3928199,,,,,,,chicago commons association,brighton park,,,,,angeles nunez,yes,no,no,,,,,,,,,,
12,0.7993307745292442,1949,dfss_agencysitelies_2012.csv,chicago commons association kiddie garden little angels,4235 s kedzie ave,60632,3928199,,,,,,,chicago commons association,,,,,,,,,,,www.chicagocommons.org,dan valliere,sandra mcpherson,,,,,,
13,0.8298881649854994,1614,chapin_dfss_providers_2011_070212.csv,chicago youth centers pathway,6535 s kedzie ave,60629,,,,,,,,chicago youth centers,chicago lawn,,,,,,yes,no,no,,,,,,,,,,
13,0.8298881649854994,2105,dfss_agencysitelies_2012.csv,chicago youth centers pathway,6535 s. kedzie,60629,7780017,,,,,,,chicago youth centers,,,,,,,,,,,www.chicagoyouthcenters.org,harry wells,tracy baker,,,,,,
14,0.7993307745292442,1801,chapin_dfss_providers_2011_070212.csv,lutheran social services of illinois arra home based initiative - roseland christian ministries,10 w 35th st 15th floor,60616,9494789,,,,,,,lutheran social services of illinois,douglas,,,,,sophia coleman,yes,no,no,,,,,,,,,,
14,0.7993307745292442,2224,dfss_agencysitelies_2012.csv,lutheran social services of illinois arra home based initiative - roseland christian ministries,10 w 35th st 15th floor,60616,9494789,,,,,,,lutheran social services of illinois,,,,,,,,,,,www.lssi.org,john schnier,,,,,,,
15,0.7993307745292442,1818,chapin_dfss_providers_2011_070212.csv,marcy newberry association learning tree 1,8128 s kedzie,60652,7788802,,,,,,,marcy newberry association,ashburn,,,,,joanne williams,yes,no,no,,,,,,,,,,
15,0.7993307745292442,2232,dfss_agencysitelies_2012.csv,marcy newberry association learning tree 1,8128 s kedzie,60652,7788802,,,,,,,marcy newberry association,,,,,,,,,,,www.marcy-newberry.org,gertrude ricks,joanne williams,,,,,,
16,0.7826294884473304,2658,ece chicago find a school scrape.csv,metropolitan family services,3215 w. 63rd st,60629,7374790,,,,,,chicago lawn,,,,,,,,,,,,,cp,,,,,,,
16,0.7826294884473304,2659,ece chicago find a school scrape.csv,metropolitan family services 0-3,3215 w. 63rd st,60629,7374790,,,,,,chicago lawn,,,,,,,,,,,,,cp,,,,,,,
17,0.7986240958649079,4,cps_early_childhood_portal_scrape.csv,board trustees-city colleges of chicago - olive-harvey college,10001 s woodlawn ave,,2916100,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
17,0.7986240958649079,5,cps_early_childhood_portal_scrape.csv,board trustees-city colleges of chicago - olive-harvey college,10001 s woodlawn ave,,2916100,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
17,0.7986240958649079,513,cps_early_childhood_portal_scrape.csv,board trustees-city colleges of chicago - olive-harvey college,10001 s woodlawn ave,,2916100,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
17,0.7986240958649079,514,cps_early_childhood_portal_scrape.csv,board trustees-city colleges of chicago - olive-harvey college,10001 s woodlawn ave,,2916100,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
18,0.7059292854824024,217,cps_early_childhood_portal_scrape.csv,city colleges olive-harvey cdc,10001 s. woodlawn,,2916315,,community partnerships,"8-11 hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
18,0.7059292854824024,2429,ece chicago find a school scrape.csv,city colleges olive harvey,10001 s. woodlawn,60628,2916315,,,,,,pullman,,,,,,,,,,,,,cp,,,,,,,
19,0.7986240958649079,8,cps_early_childhood_portal_scrape.csv,hull house association - uptown head start / hull house,1020 w bryn mawr ave,,7695753,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
19,0.7986240958649079,520,cps_early_childhood_portal_scrape.csv,hull house association - uptown head start / hull house,1020 w bryn mawr ave,,7695753,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
20,0.7750353119830445,129,cps_early_childhood_portal_scrape.csv,hull house association - uptown west / hull house,4520 n beacon st,,5613500,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
20,0.7750353119830445,749,cps_early_childhood_portal_scrape.csv,hull house association - uptown west / hull house,4520 n beacon st,,5613500,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
20,0.7750353119830445,1206,cps_early_childhood_portal_scrape.csv,hull house association - uptown west / hull house,4520 n beacon st,,5613500,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
20,0.7750353119830445,1281,cps_early_childhood_portal_scrape.csv,hull house association - uptown west / hull house,4520 n beacon st,,5613500,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
20,0.715782338480546,3179,purple_binder_early_childhood.csv,hull house association - uptown west,4520 n beacon street,60640,5613500,,,,,,,,,,,,,,,,,,,,,,,,,,child care
21,0.7986240958649079,945,cps_early_childhood_portal_scrape.csv,peirce,1423 w. bryn mawr,,5342440,,prekindergarten for all,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
21,0.7986240958649079,2718,ece chicago find a school scrape.csv,peirce,1423 w. bryn mawr,60660,5342440,,,,,,edgewater,,,,,,,,,,,,,pfa-reg,,,,,,,
22,0.7986240958649079,11,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. kevin,10509 s torrence ave,,3746466,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
22,0.7986240958649079,12,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. kevin,10509 s torrence ave,,3746466,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
22,0.7986240958649079,523,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. kevin,10509 s torrence ave,,3746466,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
22,0.7986240958649079,524,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. kevin,10509 s torrence ave,,3746466,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
23,0.7743128955920989,53,cps_early_childhood_portal_scrape.csv,chicago commons association - guadalupano family center,1814 s paulina st,,6663883,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
23,0.7743128955920989,54,cps_early_childhood_portal_scrape.csv,chicago commons association - guadalupano family center,1814 s paulina st,,6663883,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
23,0.7743128955920989,600,cps_early_childhood_portal_scrape.csv,chicago commons association - guadalupano family center,1814 s paulina st,,6663883,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
23,0.7743128955920989,601,cps_early_childhood_portal_scrape.csv,chicago commons association - guadalupano family center,1814 s paulina st,,6663883,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
23,0.7743128955920989,1175,cps_early_childhood_portal_scrape.csv,chicago commons association - guadalupano family center,1814 s paulina st,,6663883,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
23,0.7743128955920989,1176,cps_early_childhood_portal_scrape.csv,chicago commons association - guadalupano family center,1814 s paulina st,,6663883,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
23,0.7743128955920989,1247,cps_early_childhood_portal_scrape.csv,chicago commons association - guadalupano family center,1814 s paulina st,,6663883,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
23,0.7743128955920989,1248,cps_early_childhood_portal_scrape.csv,chicago commons association - guadalupano family center,1814 s paulina st,,6663883,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
23,0.6484156297492705,1453,chapin_dfss_providers_2011_070212.csv,chicago commons association guadalupano family center,1814 s paulina,60608,6663883,,,,,,,chicago commons association,lower west side,,,,,migdalia young,yes,no,yes,"2613it(child care it center), 3403ps(hs collaboration with c",,,,,,,,,
24,0.7435140831217391,137,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. joseph,4800 s paulina st,,9272524,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
24,0.7435140831217391,761,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. joseph,4800 s paulina st,,9272524,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
24,0.7435140831217391,1211,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. joseph,4800 s paulina st,,9272524,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
24,0.6590446258845668,1441,chapin_dfss_providers_2011_070212.csv,catholic charities of the archdiocese of chicago st. joseph,4800 s paulina,60609,9272524,,,,,,,catholic charities of the archdiocese of chicago,new city,,,,,janice williams,yes,no,yes,"2631sa(school age (sa)), 7041ps(hs collaboration with childc",,,,,,,,,
25,0.7986240958649079,189,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. bronislava,8716 s colfax ave,,9337676,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
25,0.7986240958649079,872,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - st. bronislava,8716 s colfax ave,,9337676,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
26,0.7986240958649079,266,cps_early_childhood_portal_scrape.csv,chicago commons guadalupano,1814 s. paulina,,6663883,,community partnerships,"8-11 hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
26,0.7986240958649079,2394,ece chicago find a school scrape.csv,chicago commons guadalupano,1814 s. paulina,60608,6663883,,,,,,lower west side,,,,,,,,,,,,,cp,,,,,,,
27,0.7986240958649079,14,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - cordia marian,1100 s may st,,6663787,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
27,0.7986240958649079,15,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - cordia marian,1100 s may st,,6663787,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
27,0.7986240958649079,1231,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - cordia marian,1100 s may st,,6663787,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
27,0.7986240958649079,1232,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - cordia marian,1100 s may st,,6663787,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
28,0.7841883872564388,2370,ece chicago find a school scrape.csv,catholic charities-cordi-marian,1100 s. may st.,60607,6663787,,,,,,near west side,,,,,,,,,,,,,cp,,,,,,,
28,0.7841883872564388,2371,ece chicago find a school scrape.csv,catholic charities-cordi-marian i/t,1100 s. may st.,60607,6663787,,,,,,near west side,,,,,,,,,,,,,cp,,,,,,,
29,0.9954423520276798,228,cps_early_childhood_portal_scrape.csv,thresholds mothers? project,1110 w. belmont,,,,community partnerships,"8-11 hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
29,0.8458450896344517,2812,ece chicago find a school scrape.csv,thresholds mothers' project,1110 w. belmont,60657,4720328,,,,,,lake view,,,,,,,,,,,,,cp,,,,,,,
29,0.8458399767636691,2813,ece chicago find a school scrape.csv,thresholds mothers' project i/t,1110 w. belmont,60657,4720328,,,,,,lake view,,,,,,,,,,,,,cp,,,,,,,
30,0.7986240958649079,18,cps_early_childhood_portal_scrape.csv,south east asia center - south-east asia center(ainslie),1124 w ainslie st,,9897433,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
30,0.7986240958649079,1165,cps_early_childhood_portal_scrape.csv,south east asia center - south-east asia center(ainslie),1124 w ainslie st,,9897433,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
30,0.7986240958649079,1234,cps_early_childhood_portal_scrape.csv,south east asia center - south-east asia center(ainslie),1124 w ainslie st,,9897433,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
31,0.7986240958649079,41,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - ebenezer,1652 w foster ave,,8789925,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
31,0.7986240958649079,587,cps_early_childhood_portal_scrape.csv,catholic charities of the archdiocese of chicago - ebenezer,1652 w foster ave,,8789925,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
32,0.5819716741114213,107,cps_early_childhood_portal_scrape.csv,albany park community center - albany park day care - ainslie,3401 w ainslie st,,5395907,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
32,0.5819716741114213,1197,cps_early_childhood_portal_scrape.csv,albany park community center - albany park day care - ainslie,3401 w ainslie st,,5395907,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
32,0.5819716741114213,1268,cps_early_childhood_portal_scrape.csv,albany park community center - albany park day care - ainslie,3401 w ainslie st,,5395907,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
32,0.45535081077287753,1400,chapin_dfss_providers_2011_070212.csv,albany park community center ainslie,3401 w ainslie,60625,5395907,,,,,,,albany park community center,albany park,,,,,john dejulio,no,no,no,"2502ps(child care ps center & state pre-k), 2502sa(school ag",,,,,,,,,
32,0.489522083301723,3040,purple_binder_early_childhood.csv,albany park community center - ainslie,3401 w ainslie street,60625,5395907,,,,,,,,,,,,,,,,,,,,,,,,,,child care
33,0.7986240958649079,145,cps_early_childhood_portal_scrape.csv,albany park community center - albany park head start center-kimball,5121 n kimball ave,,5095657,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
33,0.7986240958649079,776,cps_early_childhood_portal_scrape.csv,albany park community center - albany park head start center-kimball,5121 n kimball ave,,5095657,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
34,0.7740449333688495,333,cps_early_childhood_portal_scrape.csv,albany park community center,3401 w. ainslie,,5395907,,community partnerships,"8-11 hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
34,0.7740449333688495,1918,dfss_agencysitelies_2012.csv,albany park community center ainslie,3401 w. ainslie,60625,5395907,,,,,,,albany park community center,,,,,,,,,,,www.apcc-chgo.org,harold rice,john dejulio,,,,,,
35,0.9916954939667045,1164,cps_early_childhood_portal_scrape.csv,south east asia center - south east asia center(foster),1112 w foster ave,,,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
35,0.6910055048285282,1883,chapin_dfss_providers_2011_070212.csv,south east asia center south east asia center (foster),1112 w foster,60640,9897433,,,,,,,south east asia center,edgewater,,,,,tsering ngalutsang,no,no,yes,4127sa(school age (sa)),,,,,,,,,
35,0.6910303929955418,3265,purple_binder_early_childhood.csv,south-east asia center,1112 w foster avenue,60640,9897433,,,,,,,,,,,,,,,,,,,,,,,,,,child care
36,0.9928265809705755,1217,cps_early_childhood_portal_scrape.csv,south east asia center - south-east asia center(broadway),5120 n broadway ave,,,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
36,0.9928265809705755,3266,purple_binder_early_childhood.csv,south-east asia center,5120 n broadway avenue,60640,9896927,,,,,,,,,,,,,,,,,,,,,,,,,,child care
37,0.7993307745292442,1457,chapin_dfss_providers_2011_070212.csv,chicago commons association kimball day care,1636 n kimball ave,60647,2357200,,,,,,,chicago commons association,humboldt park,,,,,alberta varda,yes,no,no,,,,,,,,,,
37,0.7993307745292442,1950,dfss_agencysitelies_2012.csv,chicago commons association kimball day care,1636 n kimball ave,60647,2357200,,,,,,,chicago commons association,,,,,,,,,,,www.chicagocommons.org,dan valliere,alberta varda,,,,,,
38,0.6374037237422212,1881,chapin_dfss_providers_2011_070212.csv,south east asia center south east asia center (ainslie),1134 w ainslie,60640,9897433,,,,,,,south east asia center,uptown,,,,,fe mendoza,no,no,yes,"7139it(child care it center), 7139ps (child care ps center &",,,,,,,,,
38,0.6374037237422212,3262,purple_binder_early_childhood.csv,south east asia center,1134 w ainslie street,60640,9897433,,,,,,,,,,,,,,,,,,,,,,,,,,child care
39,0.7986240958649079,0,cps_early_childhood_portal_scrape.csv,salvation army - temple / salvation army,1 n ogden ave,,2262649,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
39,0.7986240958649079,1,cps_early_childhood_portal_scrape.csv,salvation army - temple / salvation army,1 n ogden ave,,2262649,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
39,0.7986240958649079,509,cps_early_childhood_portal_scrape.csv,salvation army - temple / salvation army,1 n ogden ave,,2262649,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
39,0.7986240958649079,510,cps_early_childhood_portal_scrape.csv,salvation army - temple / salvation army,1 n ogden ave,,2262649,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
39,0.7986240958649079,1225,cps_early_childhood_portal_scrape.csv,salvation army - temple / salvation army,1 n ogden ave,,2262649,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
39,0.7986240958649079,1226,cps_early_childhood_portal_scrape.csv,salvation army - temple / salvation army,1 n ogden ave,,2262649,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
40,0.7986240958649079,6,cps_early_childhood_portal_scrape.csv,easter seals society of metropolitan chicago - gilchrist-marchman,1001 w roosevelt rd,,9395115,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
40,0.7986240958649079,7,cps_early_childhood_portal_scrape.csv,easter seals society of metropolitan chicago - gilchrist-marchman,1001 w roosevelt rd,,9395115,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
40,0.7986240958649079,515,cps_early_childhood_portal_scrape.csv,easter seals society of metropolitan chicago - gilchrist-marchman,1001 w roosevelt rd,,9395115,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
40,0.7986240958649079,516,cps_early_childhood_portal_scrape.csv,easter seals society of metropolitan chicago - gilchrist-marchman,1001 w roosevelt rd,,9395115,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
40,0.7986240958649079,1161,cps_early_childhood_portal_scrape.csv,easter seals society of metropolitan chicago - gilchrist-marchman,1001 w roosevelt rd,,9395115,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
40,0.7986240958649079,1162,cps_early_childhood_portal_scrape.csv,easter seals society of metropolitan chicago - gilchrist-marchman,1001 w roosevelt rd,,9395115,,school age,part day/full day,,,,,,,,,,,,,,,,,,,,,,,
40,0.7986240958649079,1229,cps_early_childhood_portal_scrape.csv,easter seals society of metropolitan chicago - gilchrist-marchman,1001 w roosevelt rd,,9395115,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
40,0.7986240958649079,1230,cps_early_childhood_portal_scrape.csv,easter seals society of metropolitan chicago - gilchrist-marchman,1001 w roosevelt rd,,9395115,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
41,0.7986240958649079,9,cps_early_childhood_portal_scrape.csv,hull house association - child dev. central office- hull house cds-homes,1030 w van buren st,,9068600,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
41,0.7986240958649079,10,cps_early_childhood_portal_scrape.csv,hull house association - child dev. central office- hull house cds-homes,1030 w van buren st,,9068600,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
41,0.7986240958649079,478,cps_early_childhood_portal_scrape.csv,hull house association - child dev. central office- hull house cds-homes,1030 w van buren st,,9068600,,early head start,extended day,,,,,,,,,,,,,,,,,,,,,,,
